,GSM2648568,GSM2648569,GSM2648573,GSM2648575,GSM2648576,GSM2648580,GSM2648583,GSM2648585,GSM2648587,GSM2648590
DDOST,1422.238311440977,1433.335731465958,1428.6161251977817,1418.8306390586865,1415.0866400860361,1416.7705771711624,1422.800300437,1420.541602463541,1409.9326520982675,1415.877208004931
HP1BP3,1400.8360768566351,1399.6312480285762,1394.4049407209336,1388.922448312985,1352.360560725532,1387.3554109604574,1388.0335891790455,1375.1738595755155,1371.713398854185,1398.1596513000466
EIF4G3,1405.118166518898,1419.965527814905,1411.284612626424,1438.7712609623024,1411.2302771976392,1432.4700590952862,1437.7883901685204,1431.252841280148,1428.3666305989743,1431.5076896306439
NBPF3,1596.2447484232666,1610.2040729661664,1606.4154272165574,1593.0121907555513,1615.7512490027966,1627.4523472263434,1617.4134234175779,1636.6690780870629,1635.6018600415528,1645.4417809755223
RUNX3,1601.7520523590993,1557.883023797082,1565.8127511388957,1501.5299261861835,1588.4078851119536,1509.2188283448393,1543.8913236691599,1544.1417697409236,1525.6845788286287,1547.0399545706189
STMN1,1360.742411380155,1377.3695093748854,1368.7744843317328,1340.5830299605384,1301.0550786883953,1317.825286195027,1365.7777313486897,1323.8649039289314,1330.6208630730582,1360.735726411556
WASF2,1475.6672364500776,1458.916373332937,1472.268041162978,1476.7069779212654,1466.4809136033348,1462.4143291555633,1486.16328733057,1473.5926914828915,1461.69632507024,1477.3644926980435
IFI6,1694.5151468905165,1661.5915520864075,1666.5554198434925,1656.6771232427911,1768.3030086691106,1650.8040106648207,1668.9792623656344,1641.5257522495322,1639.8321831980065,1656.6490320072153
SNORA61,1459.2712684561757,1319.9305496869372,1326.5821506387017,1346.5864678819742,1320.773543157822,1362.502022280714,1445.5556697224977,1327.9474943149414,1357.4933310049605,1376.783896767868
LAPTM5,1811.9057327979287,1812.8093367820586,1813.2735609071547,1811.720120129935,1805.438252872215,1807.0769517857132,1821.7105878855518,1809.2699119354456,1805.0787540880033,1810.0688946467124
PTP4A2,1643.3682690255948,1634.7551831052729,1636.0548056833118,1639.8775880265498,1656.8834885628776,1638.9189983538904,1626.627885692059,1624.5013845610797,1643.1215227360835,1627.1836376107874
YARS,1355.5360036424572,1342.3925740735735,1342.2439065675592,1364.2885685134484,1353.6334224411444,1375.6877824016772,1359.0236170029293,1374.5236565802581,1380.562474451423,1372.2251773654293
SFPQ,1506.7835721352567,1500.0784501120315,1487.3335043343045,1540.6872530266178,1567.241319841067,1548.9863830541478,1536.6746326075192,1536.1476950202864,1535.4801088792342,1533.8455343487908
MRPS15,1465.8408810806004,1457.5605718963643,1458.9524336612835,1475.0507436487428,1474.4211330793012,1487.0333808848761,1481.3713824970223,1460.9732779812557,1457.6684228084373,1482.5034874011828
MTF1,1343.1576433022667,1313.3042586618444,1315.0133865355324,1309.7508853437666,1449.3761449249464,1338.4751020171625,1307.207335807985,1333.3463693330348,1389.0463718130407,1308.7208885728526
SF3A3,1433.9716204228368,1430.9490274203838,1427.1633889963116,1437.7237750482236,1405.7897309131865,1437.442541526536,1438.665761855809,1427.886843037332,1449.8711152381354,1451.5819304577135
A,1674.7214338385143,1668.9504419868333,1676.304224513114,1659.0874376890613,1649.4947689636929,1660.6300297006717,1673.2439203636284,1662.4978787555046,1667.3094519381161,1664.800257693473
PPT1,1797.4331458703566,1805.9946866898429,1810.4817332777507,1800.241648830631,1792.5014445126053,1792.4876309103036,1798.1492449217471,1791.6323001588346,1792.3111929287738,1800.3219118835282
RIMS3,1342.8838524031453,1388.062382181018,1404.5604019898356,1309.6917928792418,1097.611324017562,1279.1878535582155,1343.0006680527713,1315.9838960870486,1242.9221472364384,1318.9381133014165
FOXJ3,1617.4512225147364,1607.6350417304363,1620.0103544026065,1627.8808579896524,1622.9166111518846,1626.5541011561395,1635.998874370845,1629.9274996625531,1626.5065968697395,1635.5976294709471
MED8,1463.6601365690965,1466.0696310640137,1463.134013641764,1474.300776639579,1403.3769189522661,1456.6502417400702,1476.374894906971,1463.070353747012,1449.5907349448687,1471.6808056135862
PRDX1,1618.2767020755882,1623.1822046143275,1626.9385779459049,1610.649440492083,1640.9492783729584,1609.6938720271403,1598.5959289351222,1620.8931001495048,1625.071870393464,1617.6966838738601
GPBP1L1,1480.5886278617897,1483.9651133218672,1495.4515749643867,1489.2466456832615,1470.965986351263,1474.9802037845473,1475.8119490669264,1483.0651224874816,1479.416359604678,1480.3452464832467
LRRC41,1427.7209741958889,1419.4048374331478,1427.745305005383,1408.8493596679875,1434.4553157586142,1410.2271895121135,1417.585499704102,1414.6692427800597,1421.989004708724,1405.1735921398836
MKNK1,1435.1229111536431,1461.3442038123806,1451.6107074480096,1495.5918875816344,1426.2434825933324,1448.3841903847404,1467.7645696315617,1450.58371854125,1415.9970726853082,1461.3754447308595
EPS15,1373.837556294246,1369.8524197921738,1381.2947153400874,1373.5021942872718,1361.7697001233068,1378.1487305392216,1353.8023629884503,1342.662204079399,1341.6147795283466,1364.696652768367
TMEM48,1376.5549309680287,1357.2056301128898,1350.1989037936871,1368.8390995983013,1328.3896185812098,1355.6091799861338,1370.929235000549,1364.3422989835756,1391.6600632297827,1374.8678934164975
TMEM59,1598.5569125663492,1608.4644248134762,1607.1397414960838,1611.6352289374004,1591.92507557613,1599.8336731560455,1612.749211177016,1601.8661072356597,1594.1069443468696,1596.3838837375122
SSBP3,1462.1433349879621,1471.088426877251,1473.7851304289811,1468.043282252333,1324.442396088113,1444.891011222837,1481.2491820585738,1440.5007811453233,1453.2165308348654,1492.7103109686961
DHCR24,1532.0982786680477,1545.795964882765,1539.0815835033593,1561.3833261588431,1436.8322802275438,1541.8373287145812,1583.3277393222138,1560.346197231146,1564.926878215947,1568.8413355615662
HNRNPA1,1555.1254622386766,1574.241748309336,1594.5402329890815,1558.0777128881048,1566.2045000727173,1562.183901038435,1555.1955507449761,1568.8111558051905,1561.705924115252,1580.2908241598252
AK2,1562.1906363905116,1560.8043714829626,1549.4684419617508,1578.3254510806657,1616.4006401077074,1586.6019753365151,1562.1170385002522,1571.2490748253024,1584.4454497535328,1551.5165595437131
JUN,1369.1803731001862,1372.34797179939,1380.8606744580272,1390.4319797153419,1444.7421672102873,1388.1333440106034,1382.4412028217275,1401.5898962123053,1391.4713194226083,1397.9748938340215
JAK1,1381.4995946061663,1394.6864797963042,1383.4169972555248,1377.191702919191,1441.0498755352326,1400.9384774862929,1376.7224969100585,1386.8419234314588,1403.776595025135,1381.1291186540107
AIDA,1404.4145239081554,1417.755667434971,1429.6348205171919,1413.6562780119148,1534.6352683760333,1408.8640976825961,1396.0081975667947,1395.323308186436,1404.085697202102,1435.8953373052818
FUSE,1398.9523954706779,1394.2423143105111,1380.4868789980824,1408.916541356194,1414.8398438911763,1394.8900138415727,1417.466045342922,1417.5725702599348,1417.1719344995317,1436.1444177409596
MCOLN2,1355.9866634624116,1176.5975248927928,1140.204585117729,1091.5815063189248,1563.7282656259667,1253.2861009718779,984.2613719265993,1170.7984951003766,1385.874655227261,1063.0220619525198
SEP15,1573.572124067,1582.7165354487602,1574.9645784439163,1602.5725563038127,1613.5893694858119,1604.8868199984702,1589.6917733919825,1585.2373367380062,1581.922027114135,1590.7795739347546
