,GSM2648567,GSM2648570,GSM2648571,GSM2648572,GSM2648574,GSM2648577,GSM2648578,GSM2648579,GSM2648581,GSM2648582,GSM2648584,GSM2648586,GSM2648588,GSM2648589
E2F4,1374.2991260186552,1373.0038643077442,1384.1118683123943,1396.039000526841,1380.3821044382755,1394.8146777584075,1409.4507512983055,1413.8933607300494,1382.1540926768791,1396.9656001441076,1384.5993862385396,1408.1344742081512,1400.3014106546332,1390.9235954482674
NUTF2,1480.6345160172384,1499.3626401626639,1505.2591356536398,1527.9871122271163,1529.343185291349,1490.7954827971769,1492.1205782263735,1498.1262160861265,1480.559510338757,1483.6021816884445,1503.4592516135021,1507.9884167420485,1513.0737473912634,1481.0850193175636
NFATC3,1394.056798428305,1368.4417337788443,1328.2378176901964,1354.0756892113977,1371.5548675209827,1401.7245963975492,1388.0692826002237,1377.8256885487501,1409.6867056856756,1396.9901535185002,1330.185969445241,1375.2290762824987,1389.9883137669717,1393.315021770643
PLA2G15,1457.9893208381404,1450.8333565880323,1388.2526507244236,1443.7179487303506,1467.1753320513776,1484.7132792589086,1498.0646510867248,1473.3411048505302,1496.7314069281242,1491.3037567895947,1268.934588292972,1478.6240557084664,1473.8255799190133,1480.7854069808357
SF3B3,1437.1215898412793,1424.397314819072,1448.1505032390237,1427.5006939761477,1418.8644830903513,1423.4869473913122,1430.5715868659174,1436.1014309282832,1423.0477596346363,1428.0174342926327,1441.2818058327505,1427.3181824154435,1443.4181889758772,1433.3618360204048
A,1462.2596202921509,1471.0796762151172,1496.7958137138057,1469.1947681710096,1483.6818932431506,1493.6883880507255,1490.2906880276291,1495.3297654205169,1487.8349535225661,1494.9663018031595,1478.292747105691,1485.6539139699453,1478.2178652344546,1454.4674045989461
ATMIN,1444.8741841966507,1437.3148172319436,1429.7452037257533,1432.230498252213,1422.0354442636005,1421.050241549796,1430.2782040227182,1427.4790413759868,1423.4939467916329,1435.6385288888291,1417.4484711734017,1429.7475783119048,1436.2855234027677,1430.2836270814198
CMIP,1399.156215715973,1387.3356518284586,1405.689034485176,1402.3184596801452,1392.9122720860955,1407.474894375566,1387.0526769342544,1407.9611240110444,1388.7104513599631,1391.4615520510968,1406.9867337867083,1416.319944431691,1393.2770442512867,1406.716859444552
USP10,1410.5322605708325,1385.4654548707497,1436.4770499837255,1397.3995728461143,1370.2134864552238,1427.8809399317586,1416.681614954642,1431.485651978761,1409.941864702062,1428.721297691888,1446.401233083656,1393.7436013441031,1412.8010540710486,1411.8882504620462
IRF8,1428.490541715041,1437.7378705701076,1408.3279291510598,1400.074131926902,1428.9330737823907,1441.117552213222,1440.5479681060524,1422.8155646811933,1451.2762608699409,1445.6972279316697,1462.2699441591585,1407.540866161052,1405.7067730138046,1426.5870401689144
WASH1,1416.9966387879597,1405.4790267066119,1393.611069152663,1407.0112695426951,1405.2956232711122,1373.90735919558,1378.2307230678236,1361.9980775957981,1373.1143681658637,1371.7329157266315,1390.9928230659943,1430.183165698318,1399.6132311201914,1412.4135981209665
TMEM8A,1399.6372411037644,1392.8654655269843,1405.1806611989466,1416.0187241518643,1417.0724989742703,1396.2474717201508,1387.0335729351623,1393.515521157505,1385.23237471414,1393.3821715591412,1371.8407168993103,1413.206250369824,1399.6804040229554,1397.5656862921655
CLCN7,1417.9093536263329,1407.5491129438415,1378.4309334982672,1414.4033014283764,1414.4174535955435,1416.1358538716718,1433.72238214474,1401.690914696975,1420.0895524286163,1420.3390484895203,1355.3793024484542,1449.6856634123856,1440.0156758195333,1428.9346875197136
RPS2,1728.9080269244632,1730.1663027765392,1731.8897601029032,1738.8251256663848,1736.149952488793,1729.0326499994685,1732.3792936646648,1732.06185195742,1727.680335465631,1727.050252867564,1723.0896973607641,1730.8057928656592,1734.714167250798,1717.250681487926
RNPS1,1431.1779798502512,1448.0280611514693,1437.5388941864144,1465.3350176942786,1473.2634128500388,1454.0509421309991,1440.0321601305675,1433.5557341235274,1436.279187345326,1455.7750240434827,1474.78990868032,1459.989984581821,1462.8503501326759,1447.5366461612143
PDPK1,1507.4623023175307,1512.2746661569186,1482.5217304485766,1498.320332915018,1503.6791187468002,1492.0930559751139,1489.8390149062386,1483.8673158355055,1497.1257435898124,1490.217952010899,1469.1916959730008,1492.422694618117,1502.936122576129,1497.2613493151443
TRAP1,1393.7827098882533,1389.067569216088,1406.2261062633697,1393.6275128310485,1383.7712321310169,1367.1080757431887,1369.9382228905156,1379.1912068562262,1370.7879183105756,1380.416625803486,1391.6050630892819,1383.3760719103934,1397.1017870821486,1387.8385460449736
CREBBP,1413.9474037798807,1385.6858807200842,1389.732672952881,1389.5457958732277,1382.7723313373667,1400.2317043096698,1385.8300209923639,1382.2247834554696,1387.2668244116378,1384.9017088592036,1387.8944758020762,1413.623974551116,1401.118452492337,1406.6771847515606
RPL21,1465.952963369352,1470.752460202751,1467.5520504019205,1464.2238151253653,1472.4881670417803,1474.2015706511136,1466.676780578506,1464.1776865875868,1471.1022528918363,1462.3103138609833,1459.3697150151359,1453.8876388939343,1419.3689189107117,1435.9311144148107
LITAF,1545.4633079530436,1544.0392632402295,1580.3849546425765,1548.9930882863152,1546.638713456129,1548.5320257493736,1533.8860139556602,1557.5167229122815,1525.464768249327,1532.774406138719,1604.7044899813845,1536.2974745807878,1546.7794649476803,1544.7560611043873
RSL1D1,1483.9249489405631,1485.1458574329065,1506.4726718852837,1483.8185228171405,1486.1407259659816,1505.1070320165736,1504.689645057571,1508.540678067895,1514.116332210366,1501.8166932586985,1495.830328177256,1451.0625042994072,1483.6616121094914,1500.087829167563
GSPT1,1429.970619831322,1450.9593142162234,1484.3652669085857,1471.066411462176,1455.6920892738253,1493.1393097164826,1492.1096616554637,1492.7772546521508,1490.398824066898,1488.7283806310804,1507.3211791311833,1459.2727081915764,1464.5187056972488,1460.2161308041084
CPPED1,1405.6164826049994,1392.8846329921437,1383.9506101194506,1368.998002476229,1393.2278588752981,1407.5226997031743,1407.45165425046,1383.42540384358,1406.6016012148216,1406.2849698024597,1308.3821072765695,1377.870082455009,1368.294070837698,1394.837709125794
LYRM2,1514.2638094389217,1530.5508441865343,1517.3480337449962,1524.9768630977667,1529.9647540544308,1520.3186872615079,1531.2414746527768,1527.234105836008,1539.9706265552302,1530.4745734039443,1493.7886108861128,1505.4724530053854,1528.5523034139383,1518.934676431321
