,GSM2648567,GSM2648568,GSM2648569,GSM2648570,GSM2648571,GSM2648572,GSM2648573,GSM2648574,GSM2648575,GSM2648576,GSM2648577,GSM2648578,GSM2648579,GSM2648580,GSM2648581,GSM2648582,GSM2648583,GSM2648584,GSM2648585,GSM2648586,GSM2648587,GSM2648588,GSM2648589,GSM2648590
HNRNPA3,10.63053,9.931219,10.28208,10.40956,10.32652,9.923464,10.15374,10.11659,10.25582,10.48478,10.18756,10.22787,10.18514,10.41421,10.27854,10.31989,10.1056,10.40142,10.25338,10.09257,10.38087,10.09844,10.23487,10.6523
COMMD6,10.14086,10.05618,10.1081,10.11377,9.968283,10.01584,10.14748,10.1403,10.14315,9.665764,10.06746,10.07524,10.06505,10.19184,10.23052,10.10012,10.12485,9.80767,10.09446,10.13772,9.976462,10.11015,10.14777,10.15154
KCTD12,10.22914,9.958206,10.30523,10.21834,9.683434,9.99763,10.39406,10.3071,9.887843,9.194071,9.749025,9.88775,9.387689,9.542086,9.801985,9.808656,10.1394,9.261635,9.947117,9.92868,9.373254,9.916517,9.988453,9.896019
RPS26,10.25853,10.33748,10.20932,10.23553,10.33814,10.29923,10.27163,10.34932,10.02563,10.00509,10.16222,10.19678,10.19908,10.13631,10.2243,10.22951,10.16185,10.07805,10.14267,10.25013,10.10228,10.13673,10.21489,10.21939
PNP,10.32151,10.38888,10.37086,10.35286,10.40092,10.34993,10.37869,10.36272,10.68826,10.30286,10.76424,10.86932,10.71363,10.794,10.75422,10.7832,10.44129,9.859125,10.38532,10.53555,10.34595,10.51332,10.53265,10.5084
TOX4,10.18872,10.21517,10.13976,10.12569,10.0408,10.11144,10.09603,10.14604,10.19406,10.03508,10.14374,10.12168,10.20589,10.14614,10.29228,10.20651,10.21999,10.04728,10.26294,10.16129,10.07711,10.06883,10.21446,10.04421
LRP10,10.61844,10.74595,10.63239,10.63676,10.76758,10.81744,10.83502,10.78875,10.47163,10.64514,10.56551,10.62086,10.58904,10.51702,10.61594,10.57125,10.58338,10.54711,10.62937,10.78462,10.59182,10.5905,10.59287,10.42453
A,10.78147,10.94881,10.8316,10.92829,10.91701,10.85508,10.80524,10.9369,10.99706,10.7393,10.8943,10.87659,10.98996,10.93142,11.05796,11.00827,11.06686,10.9123,11.01335,11.11152,11.05622,11.05433,11.0458,10.89974
ARF6,10.5946,10.53515,10.52629,10.44503,10.71337,10.48044,10.52186,10.44961,10.54873,10.75027,10.48949,10.42997,10.54269,10.56917,10.52446,10.61206,10.22124,10.45239,10.52775,10.15893,10.5086,10.39383,10.58259,10.55536
TMX1,10.68383,10.4468,10.6022,10.62667,10.61792,10.4487,10.57306,10.46999,10.66588,10.99261,10.75671,10.75588,10.70012,10.79813,10.73343,10.75309,10.57856,10.70939,10.6172,10.49656,10.75746,10.57224,10.68103,10.67197
